# 	98x98			98x150			150x150
9.593637741950707598e-06 -1.484837412808971197e-05 -9.464722109433569734e-06
6.403840041555177755e-03 3.960641771271184927e-03 2.484698504728674682e-03
1.279411294767966549e-02 7.931408188089244735e-03 4.991604492070545948e-03
1.918114551741159982e-02 1.189976172747913077e-02 7.518903426858907987e-03
2.556530281368418756e-02 1.586707049464163022e-02 1.007126930830495350e-02
3.194718594071330880e-02 1.983542044999193898e-02 1.265573448579525133e-02
3.832732159561649116e-02 2.380599570780535593e-02 1.527590321387517144e-02
4.470596841962870549e-02 2.778009795622298980e-02 1.793640804133181041e-02
5.108312179335761094e-02 3.175843700097892575e-02 2.064007957360834700e-02
5.745962793401670349e-02 3.574239671424638692e-02 2.339064694991576515e-02
6.383548204635071388e-02 3.973268655229816870e-02 2.619094040783975785e-02
7.021057491064648659e-02 4.372966592909584976e-02 2.904261680504348353e-02
7.658570035602578485e-02 4.773454334619577077e-02 3.194881822291923551e-02
8.296074916277547395e-02 5.174767821755947572e-02 3.491120151913019304e-02
8.933561202325099315e-02 5.576942978241793136e-02 3.793142336741076731e-02
9.571087382972696955e-02 5.980030628297432899e-02 4.101027890537952553e-02
1.020864243952442352e-01 6.384066521115319692e-02 4.414942296748348288e-02
1.084621557311300916e-01 6.789086842714509018e-02 4.735051498638816886e-02
1.148385991984584020e-01 7.195124653103798784e-02 5.061376065081980846e-02
1.212153803366363969e-01 7.602199451040267397e-02 5.394071489372215256e-02
1.275931342277440983e-01 8.010379160979325119e-02 5.733275531231395855e-02
1.339716496896913578e-01 8.419665209331798905e-02 6.079037053434066529e-02
1.403508148648214271e-01 8.830093013301926197e-02 6.431521189960320850e-02
1.467312160523121245e-01 9.241713676679048917e-02 6.790807748857997928e-02
1.531126908529754638e-01 9.654545446540066522e-02 7.157003544575675502e-02
1.594949217257714824e-01 1.006855436065726417e-01 7.530039697252420561e-02
1.658784400317739327e-01 1.048377347903945017e-01 7.909936775760845196e-02
1.722629796507886279e-01 1.090018618431689845e-01 8.296684403700271826e-02
1.786483799422567131e-01 1.131781107302778228e-01 8.690389763376760168e-02
1.850349107664501502e-01 1.173659360723777190e-01 9.090779986717933969e-02
1.914224114828100842e-01 1.215655238348503919e-01 9.497962256029850170e-02
1.978105619123527448e-01 1.257765291534995999e-01 9.911867139665347937e-02
2.041997923330896025e-01 1.299989392258664722e-01 1.033239856743402019e-01
2.105897293865619246e-01 1.342322322445619887e-01 1.075942823637095480e-01
2.169800564110442864e-01 1.384760703346155364e-01 1.119288745054396184e-01
2.233712001672898129e-01 1.427304337043426297e-01 1.163267940404765777e-01
2.297628954144189384e-01 1.469951579273524600e-01 1.207879390441010670e-01
2.361546659522813230e-01 1.512693742990963430e-01 1.253098564174589258e-01
2.425469394209447405e-01 1.555530647751962869e-01 1.298915799407837635e-01
2.489393459792087204e-01 1.598457145374888588e-01 1.345318339415761955e-01
2.553315140272438000e-01 1.641468052731980265e-01 1.392293390687620314e-01
2.617239758054383247e-01 1.684566693297180895e-01 1.439843028503549061e-01
2.681160476716298313e-01 1.727737407135682690e-01 1.487919283705154139e-01
2.745086840075672829e-01 1.770990417861924571e-01 1.536542857036466148e-01
2.808981637499246009e-01 1.814295363100959513e-01 1.585670915482101928e-01
2.872896532814188664e-01 1.857680239188701232e-01 1.635306624019594313e-01
2.936804905207937577e-01 1.901128411282367592e-01 1.685439587855390720e-01
3.000677013444595365e-01 1.944612767732127045e-01 1.736024236548285304e-01
3.064565540975106583e-01 1.988164756372428066e-01 1.787075417374989206e-01
3.128442856156281593e-01 2.031764308335017866e-01 1.838571071635646259e-01
3.192281797587659953e-01 2.075393001872123111e-01 1.890494899012054031e-01
3.256132512850478666e-01 2.119073682281454318e-01 1.942832568622291090e-01
3.319967726233383765e-01 2.162787700665405599e-01 1.995567541040790815e-01
3.383758351399268061e-01 2.206509959428969991e-01 2.048660390458363345e-01
3.447557001453910308e-01 2.250271766622081449e-01 2.102125817008723141e-01
3.511334537301328829e-01 2.294047919811349479e-01 2.155924284525434775e-01
3.575062777917293322e-01 2.337816545750465713e-01 2.210027810391117786e-01
3.638794248476127091e-01 2.381608777758728590e-01 2.264450910810749396e-01
3.702498851810097635e-01 2.425396084215658832e-01 2.319142496068832826e-01
3.766149975899784064e-01 2.469161847751536742e-01 2.374092189764689942e-01
