# 	98x98			98x150			150x150
3.829797095841343535e-01 2.512926864663123649e-01 2.429279479598636382e-01
3.893414122616960515e-01 2.556676269539563395e-01 2.484699857908895249e-01
3.956971394129051856e-01 2.600383107988600839e-01 2.540307919790127933e-01
4.020522134416453230e-01 2.644080614749674263e-01 2.596124418043693205e-01
4.084035371584006091e-01 2.687737807320884076e-01 2.652091658500229654e-01
4.147485280408260699e-01 2.731340344483292881e-01 2.708205685284182929e-01
4.210922206125672917e-01 2.774912176990108614e-01 2.764457355716186671e-01
4.274318143574920015e-01 2.818431781056301433e-01 2.820819055036345446e-01
4.337644388730170775e-01 2.861875531476701928e-01 2.877256931888380054e-01
4.400954600700411334e-01 2.905278240218974184e-01 2.933797423883808264e-01
4.464219029456598653e-01 2.948612778160221159e-01 2.990394942188550065e-01
4.527409581905960101e-01 2.991857446784775276e-01 3.047021688113970006e-01
4.590579917157482925e-01 3.035047058060299507e-01 3.103704099271582528e-01
4.653700373113578981e-01 3.078154657594537325e-01 3.160396770756052076e-01
4.716742680818563627e-01 3.121158197410542900e-01 3.217071536021257616e-01
4.779761110314482142e-01 3.164094416165481038e-01 3.273760885346358451e-01
4.842723907497335500e-01 3.206929351631644387e-01 3.330395938870416295e-01
4.905609167362137146e-01 3.249662154069078435e-01 3.387019138842851662e-01
4.968463226995422088e-01 3.292303108021367164e-01 3.443574760530583312e-01
5.031262612387390476e-01 3.334846107871967114e-01 3.500087639966331099e-01
5.096251305103834950e-01 3.381782209372083403e-01 3.561268217723764784e-01
5.161266911107049715e-01 3.428743366489761524e-01 3.622512324427779040e-01
5.226280990165577123e-01 3.475706478211753048e-01 3.683786660508321376e-01
5.291267892918876115e-01 3.522657552780396051e-01 3.745087637947321912e-01
5.356279973265493100e-01 3.569626670478684982e-01 3.806424639925822806e-01
5.421290447910231958e-01 3.616596160900594770e-01 3.867782157019212796e-01
5.486273056559495265e-01 3.663550105598963880e-01 3.929150548541779919e-01
5.551278149036870113e-01 3.710511751751972009e-01 3.990515906647708055e-01
5.616284084131736298e-01 3.757480773811583963e-01 4.051921225372644986e-01
5.681263467615840224e-01 3.804437574682272838e-01 4.113344942624335143e-01
5.746265168239408361e-01 3.851400320396271559e-01 4.174755728269006760e-01
5.811267021790219589e-01 3.898366933446678062e-01 4.236190707603404437e-01
5.876235270089318341e-01 3.945296618500976904e-01 4.297557709739734944e-01
5.941228806848859456e-01 3.992241003540430988e-01 4.358937094512064792e-01
6.006219538976069749e-01 4.039178390049371625e-01 4.420301063231757421e-01
6.071176411231462566e-01 4.086076917220233806e-01 4.481586972634259425e-01
6.136151953376498547e-01 4.132967014797289673e-01 4.542804573758098541e-01
6.201124436269099816e-01 4.179848182501861298e-01 4.603996676710175873e-01
6.266063327671388405e-01 4.226690311485247764e-01 4.665106506964840083e-01
6.331020981481908505e-01 4.273523482030441856e-01 4.726143447703134992e-01
6.395969480470796720e-01 4.320326345083052022e-01 4.787080068093904073e-01
6.460880907408190765e-01 4.367077551588692264e-01 4.847888937305997459e-01
6.525815373285237531e-01 4.413833286482653495e-01 4.908667285675212266e-01
6.590737726781077388e-01 4.460547848017110684e-01 4.969305703954539633e-01
6.655619439732787246e-01 4.507197960448171559e-01 5.029770708645182609e-01
6.720521757066173496e-01 4.553843487359492959e-01 5.090171451489482468e-01
6.785412489607092201e-01 4.600448889295146726e-01 5.150433367816347197e-01
6.850264243127283104e-01 4.646994569159605959e-01 5.210534895533520672e-01
6.915133555538119925e-01 4.693524622906764532e-01 5.270532367733246071e-01
6.979989283668661670e-01 4.740007014998416368e-01 5.330362957222227749e-01
7.044807083368817002e-01 4.786432485361575284e-01 5.390040130412871999e-01
7.109639831538732135e-01 4.832832866238092606e-01 5.449579139225119162e-01
7.174460569020297829e-01 4.879190137760666124e-01 5.508964106376872394e-01
7.239241813653800595e-01 4.925484528103130089e-01 5.568173285847139997e-01
7.304035484267635825e-01 4.971744540320255923e-01 5.627210376006805959e-01
7.368819152855211607e-01 5.017967572713222246e-01 5.686111950366385948e-01
7.433561241175443701e-01 5.064120012515603841e-01 5.744809496922432812e-01
7.498318199208245938e-01 5.110245780950650740e-01 5.803359164838444162e-01
7.563064201730171909e-01 5.156330536799429431e-01 5.861756998238865091e-01
7.627770632646847515e-01 5.202350829587407688e-01 5.919969329696160854e-01
7.692490803928563325e-01 5.248340068784660417e-01 5.978017095940419967e-01
7.757197844348669991e-01 5.294280409254535913e-01 6.035884603618328903e-01
7.821869413832026607e-01 5.340169424028835543e-01 6.093608610169092277e-01
7.886553159262746915e-01 5.386021425760798564e-01 6.151145680123673021e-01
7.951227263567307579e-01 5.431835739441122080e-01 6.208538439660289399e-01
8.015859801365919912e-01 5.477577349805771156e-01 6.265712875893985068e-01
8.080514456729499528e-01 5.523314530771444852e-01 6.322807116404149941e-01
8.145159304278267731e-01 5.569012267074135991e-01 6.379747148305937587e-01
8.209766861852515474e-01 5.614650786887687151e-01 6.436511225578356310e-01
8.274397328374830662e-01 5.660286449878005888e-01 6.493196762485886619e-01
8.339016510596118925e-01 5.705876883484374273e-01 6.549705903330638179e-01
8.403599018363074880e-01 5.751409323716074606e-01 6.606040377047215362e-01
8.468209845544185654e-01 5.796956072599427356e-01 6.662350600478956775e-01
8.532809393011397958e-01 5.842456888523791525e-01 6.718479662681439146e-01
8.597385086444269131e-01 5.887941578703080880e-01 6.774570694109112168e-01
8.661983262929335847e-01 5.933420427680877740e-01 6.830567970028884606e-01
8.726577139171397546e-01 5.978875765051154811e-01 6.886455981016146310e-01
8.791147165966246568e-01 6.024314273101319950e-01 6.942301196062115043e-01
8.855740203402032718e-01 6.069747988333838995e-01 6.998053759172668808e-01
8.920336878137457015e-01 6.115183942497384173e-01 7.053780507196477645e-01
8.984911189086164374e-01 6.160607444911752051e-01 7.109477116400539920e-01
9.049515925216838896e-01 6.206050153088141785e-01 7.165158654776015990e-01
9.114117939283588044e-01 6.251473198383551422e-01 7.220739004102781911e-01
9.178698552222507301e-01 6.296886417541850411e-01 7.276296002992443945e-01
9.243303318911286759e-01 6.342297115380792771e-01 7.331762741020262375e-01
9.307921493241525512e-01 6.387741582757822112e-01 7.387305271810057361e-01
9.372511384078764385e-01 6.433152570226857714e-01 7.442743209461846199e-01
9.437126391324749397e-01 6.478563661988608890e-01 7.498097674634438548e-01
9.501747923847027044e-01 6.523984869517562846e-01 7.553446689868106301e-01
9.566349980559241128e-01 6.569401502133526138e-01 7.608785931429882243e-01
9.630978639340688208e-01 6.614822616613112993e-01 7.664054357633931502e-01
9.695614610194406291e-01 6.660256123010707130e-01 7.719323754424251005e-01
9.760232590898542115e-01 6.705689432066206379e-01 7.774596034664114086e-01
9.824877525397742728e-01 6.751127921907903451e-01 7.829798235261253847e-01
9.889496800586222713e-01 6.796540284485864669e-01 7.884915656081984414e-01
9.954151485526875343e-01 6.841986033922450305e-01 7.940057081011100415e-01
1.001881636592931724e+00 6.887452755688244777e-01 7.995224606840757309e-01
1.008348298583643166e+00 6.932912243710793732e-01 8.050324149819774178e-01
1.014812429815865169e+00 6.978346303392158889e-01 8.105339648737313052e-01
1.021280372775965395e+00 7.023821980882081206e-01 8.160403914220060173e-01
1.027749509769016578e+00 7.069324236039069564e-01 8.215512254677490578e-01
1.034215270866580383e+00 7.114772153207412630e-01 8.270437702155886139e-01
1.040685898488375338e+00 7.160296902092204707e-01 8.325529474906228078e-01
1.047155916016945465e+00 7.205787434275787717e-01 8.380460468555975817e-01
1.053624623735719412e+00 7.251292479058285556e-01 8.435438001830011245e-01
1.060097335255434814e+00 7.296845096448485446e-01 8.490482643600913981e-01
1.066567900162787907e+00 7.342384195095785770e-01 8.545479925173663505e-01
1.073041545054487900e+00 7.387939680552555455e-01 8.600439045800600812e-01
1.079515669821898172e+00 7.433496862138559980e-01 8.655355681748650998e-01
1.085988720359590598e+00 7.479076088350846696e-01 8.710342884062807212e-01
1.092465025368401399e+00 7.524677306710451097e-01 8.765309899505291380e-01
1.098943030742903115e+00 7.570320865714423864e-01 8.820369779121099985e-01
1.105420539876359243e+00 7.615933183090520808e-01 8.875276035876404901e-01
1.111897149266870111e+00 7.661573150430777135e-01 8.930270833072029291e-01
1.118377196408417262e+00 7.707240889986843868e-01 8.985263601398865152e-01
1.124856396107179357e+00 7.752938031465931301e-01 9.040350778904920892e-01
1.131339042350123947e+00 7.798663119891483531e-01 9.095436111470966978e-01
1.137822535028614634e+00 7.844401464583290462e-01 9.150515275364000667e-01
1.144304247654579276e+00 7.890137850669208808e-01 9.205583395064721453e-01
1.150789520218192807e+00 7.935905862349974527e-01 9.260661591232042245e-01
1.157275700310658184e+00 7.981689056986488451e-01 9.315739671393954424e-01
1.163761364347592364e+00 8.027512514760462015e-01 9.370947741025921207e-01
1.170250762808947353e+00 8.073373203467139048e-01 9.426183861198631497e-01
1.176741164606329937e+00 8.119252404316665839e-01 9.481431418915058362e-01
1.183230030724410353e+00 8.165137353318312474e-01 9.536692143109732900e-01
1.189722727074086883e+00 8.211062862439746368e-01 9.591992471394203967e-01
1.196216540153257402e+00 8.257010562352384841e-01 9.647316158628895799e-01
1.202708930946591703e+00 8.302967689065513524e-01 9.702664933748407217e-01
1.209206511775692050e+00 8.349010926828862589e-01 9.758205900169135694e-01
1.215704067523903920e+00 8.395037987019083880e-01 9.813641297213034909e-01
1.222200349093614635e+00 8.441079555155730496e-01 9.869119204429670500e-01
1.228701934092558234e+00 8.487210912990973410e-01 9.924801224354100615e-01
1.235203650911093964e+00 8.533331349129660293e-01 9.980395281118352724e-01
1.241705435769007604e+00 8.579511494683940143e-01 1.003618406740931723e+00
1.248210048362325075e+00 8.625698738408980049e-01 1.009190076782223944e+00
1.254717511924860807e+00 8.671966865873347308e-01 1.014783944466424170e+00
1.261222480360202347e+00 8.718209560344070130e-01 1.020369004799332346e+00
1.267731627083258594e+00 8.764505432760363313e-01 1.025962573389345378e+00
1.274242325605956294e+00 8.810839268250098000e-01 1.031564162684539987e+00
1.280753457351727631e+00 8.857246484017509136e-01 1.037190286082923629e+00
1.287267398329184465e+00 8.903661855644453560e-01 1.042810117141043769e+00
1.293782995247890089e+00 8.950119397837588142e-01 1.048439619168770154e+00
1.300296148422136033e+00 8.996554666145983870e-01 1.054061853752379818e+00
1.306815152571800587e+00 9.043100582233605245e-01 1.059712329590865032e+00
1.313334400099671173e+00 9.089642069573147243e-01 1.065357107320568542e+00
1.319852781222325078e+00 9.136214720099506970e-01 1.071012718732379909e+00
1.326375600757354611e+00 9.182851419090820588e-01 1.076681202320678210e+00
1.332900232216687630e+00 9.229536951674965906e-01 1.082362070533541942e+00
1.339422541200745886e+00 9.276205470903432504e-01 1.088037834869110210e+00
1.345949392738787109e+00 9.322942246089604978e-01 1.093728121645590301e+00
1.352476547830913312e+00 9.369677926367272480e-01 1.099414268613349677e+00
1.359004579091979581e+00 9.416504341085523144e-01 1.105131605920614213e+00
1.365534023231839367e+00 9.463294772535412180e-01 1.110828748144917721e+00
1.372067126470479570e+00 9.510197112749650961e-01 1.116559805398973815e+00
1.378597967409724401e+00 9.557085773447757671e-01 1.122287317075784552e+00
1.385131859660312381e+00 9.603993814638537296e-01 1.128013340062614889e+00
1.391667850339301626e+00 9.650962084133453134e-01 1.133756166772015295e+00
1.398201587053327533e+00 9.697917552417907316e-01 1.139495942813692597e+00
1.404740161618581284e+00 9.744952846102022948e-01 1.145254678787165581e+00
1.411279221641697834e+00 9.791994935671215483e-01 1.151012520302143738e+00
1.417817823032881508e+00 9.839084843667563751e-01 1.156787778164044767e+00
1.424359605797738793e+00 9.886199567416289469e-01 1.162563729295660764e+00
1.430903660560343571e+00 9.933381531957063970e-01 1.168359234590554019e+00
1.437443813214863031e+00 9.980496563945744359e-01 1.174133917465154830e+00
1.443988933782941464e+00 1.002769685659378851e+00 1.179929742231246470e+00
1.450536509169971566e+00 1.007497087367741351e+00 1.185747413477552303e+00
1.457080094976174189e+00 1.012217550732753102e+00 1.191543601858182866e+00
1.463628813930848871e+00 1.016947153581926555e+00 1.197363187661492301e+00
1.470178122026279732e+00 1.021677927126382945e+00 1.203184005787368616e+00
1.476725445074555276e+00 1.026408525074797407e+00 1.209006155557782458e+00
1.483277918398880235e+00 1.031148367811002498e+00 1.214852216053264877e+00
1.489829167485926531e+00 1.035883354690103619e+00 1.220679481587563675e+00
1.496380331459168378e+00 1.040624578328697591e+00 1.226529719528830054e+00
1.502932844924331102e+00 1.045362362759016728e+00 1.232361539703590747e+00
1.509488030284806159e+00 1.050108378604508896e+00 1.238218525280292415e+00
1.516041308360296158e+00 1.054854587184042236e+00 1.244078437587333497e+00
1.522597958047669620e+00 1.059604154248735775e+00 1.249942783423826365e+00
1.529155352858853956e+00 1.064355558311378180e+00 1.255811075237852625e+00
1.535708783092508023e+00 1.069100287522368520e+00 1.261659368914756385e+00
1.542267685278892353e+00 1.073855470884536700e+00 1.267536065986234251e+00
1.548827358509811347e+00 1.078612614021348559e+00 1.273417240730512656e+00
1.555383084290777429e+00 1.083363187610138612e+00 1.279278930640061596e+00
1.561942268238943665e+00 1.088117505487238068e+00 1.285146667557746092e+00
1.568504393458942214e+00 1.092881088947009527e+00 1.291043475672979834e+00
1.575062492549391235e+00 1.097637875243682615e+00 1.296920156900975840e+00
1.581621974928203667e+00 1.102391503296845432e+00 1.302779923483900815e+00
1.588184424499572200e+00 1.107154519709375506e+00 1.308669292959645958e+00
1.594742926162274532e+00 1.111911036931386487e+00 1.314539654117306888e+00
1.601304937833623709e+00 1.116671543995095828e+00 1.320417125673637448e+00
1.607867789518532264e+00 1.121434361690466508e+00 1.326300651595692104e+00
1.614428915822233579e+00 1.126198161199236436e+00 1.332190349598312284e+00
1.620991329148409710e+00 1.130958539903288873e+00 1.338062454117597166e+00
1.627552368295118512e+00 1.135713836065653348e+00 1.343915927513481989e+00
1.634113948095093471e+00 1.140477752768154884e+00 1.349801321869590787e+00
1.640676745031091066e+00 1.145238038523924917e+00 1.355668499082725909e+00
1.647238184915200243e+00 1.149993347041637692e+00 1.361517558474854450e+00
1.653797855452373566e+00 1.154749550007429404e+00 1.367372697983177510e+00
1.660358760253147103e+00 1.159502227330119650e+00 1.373210133650916376e+00
1.666920591622797154e+00 1.164257601087620220e+00 1.379055237163062664e+00
1.673480723073249576e+00 1.169014149792715562e+00 1.384907520967682437e+00
1.680042027693996687e+00 1.173766980185759978e+00 1.390741495664957750e+00
1.686601878996966564e+00 1.178514570779540804e+00 1.396556673702965545e+00
1.693157511179895103e+00 1.183254909445312419e+00 1.402350843693854987e+00
1.699716791768234092e+00 1.187999869309317447e+00 1.408154800952621244e+00
1.706277007259880740e+00 1.192747613438698284e+00 1.413966920965309626e+00
1.712830466844353250e+00 1.197479643818338824e+00 1.419729807805539368e+00
1.719387557247944232e+00 1.202216260450085450e+00 1.425502445127901030e+00
1.725943106861014043e+00 1.206947392194425372e+00 1.431255625345605020e+00
1.732496895002867854e+00 1.211679576574913764e+00 1.437015857105667260e+00
1.739049127454818544e+00 1.216398985341703876e+00 1.442727720439874517e+00
1.745602294351362715e+00 1.221121248731372511e+00 1.448448223044648930e+00
1.752151189368993611e+00 1.225836155354648849e+00 1.454147607245059648e+00
1.758700951631676057e+00 1.230546450678625670e+00 1.459826132520951170e+00
1.765249024537788980e+00 1.235250823358104988e+00 1.465483934980037706e+00
1.771795414193568785e+00 1.239956546646311830e+00 1.471149907550635572e+00
1.778339942692915621e+00 1.244648530976070866e+00 1.476764485361562240e+00
1.784885431557580837e+00 1.249343492705402570e+00 1.482388234138320104e+00
1.791426438883976457e+00 1.254030467242298386e+00 1.487988993531799586e+00
1.797971058984486836e+00 1.258722063442677008e+00 1.493599943138310904e+00
1.804511034540009495e+00 1.263397873609732658e+00 1.499157249811548187e+00
1.811049335179633069e+00 1.268075122216085759e+00 1.504723221505822828e+00
1.817585530289598461e+00 1.272737861188187436e+00 1.510235377373362997e+00
1.824122650592299610e+00 1.277403507667606686e+00 1.515756630635241020e+00
1.830658087185954130e+00 1.282070575113257060e+00 1.521286530525278291e+00
1.837191348363501175e+00 1.286722922782645773e+00 1.526761990928950707e+00
1.843725525940637100e+00 1.291378160486285731e+00 1.532246530334082868e+00
1.850252144604475291e+00 1.296015162270768739e+00 1.537673949705946175e+00
1.856782375583714284e+00 1.300656856076235046e+00 1.543112035807483018e+00
1.863313566469557481e+00 1.305301597638776734e+00 1.548559769391498531e+00
1.869837067462344793e+00 1.309927700471196887e+00 1.553949154015843215e+00
1.876364171977386919e+00 1.314558477851535123e+00 1.559349186976983104e+00
1.882889237703602836e+00 1.319182281877305574e+00 1.564725378823127677e+00
1.889409533552596221e+00 1.323797240669519759e+00 1.570076068254563362e+00
1.895930381928252473e+00 1.328406677702122840e+00 1.575403330551429448e+00
1.902452207338091839e+00 1.333019267795431562e+00 1.580740753633168350e+00
1.908966116067941865e+00 1.337612483428945787e+00 1.586017443473928257e+00
1.915483654240771161e+00 1.342210496387073793e+00 1.591305313346754069e+00
1.921999013851869442e+00 1.346801115706604879e+00 1.596568094785305147e+00
1.928512671708917159e+00 1.351393191403740923e+00 1.601839962582908061e+00
1.935026846920044452e+00 1.355979675449009658e+00 1.607088329674445148e+00
1.941535548659338639e+00 1.360547728514847066e+00 1.612274635276637946e+00
1.948045878268554354e+00 1.365128415548883201e+00 1.617507550381096948e+00
1.954553325721426482e+00 1.369692123198445799e+00 1.622678817976641596e+00
1.961061828429364828e+00 1.374259281881295092e+00 1.627861364926215915e+00
1.967562074276914874e+00 1.378805962509839445e+00 1.632979602212846215e+00
1.974066018995181970e+00 1.383357720962514303e+00 1.638110119707825163e+00
1.980571062475530608e+00 1.387913088171297993e+00 1.643252485037849375e+00
1.987067692195009894e+00 1.392447451738118458e+00 1.648328780083260892e+00
1.993568125385527745e+00 1.396987243520843247e+00 1.653418529084803801e+00
2.000066196734396229e+00 1.401519063658118958e+00 1.658481373851775853e+00
2.007792224447592755e+00 1.406820711018368586e+00 1.664034987006115962e+00
2.018636680795242277e+00 1.414053685536615479e+00 1.670741133296001379e+00
2.029482227111827797e+00 1.421290251337907762e+00 1.677459109028060613e+00
2.040322750384823358e+00 1.428517183756779829e+00 1.684149142885481121e+00
2.051167111842724378e+00 1.435749684641313140e+00 1.690853180787171617e+00
2.062002893846130558e+00 1.442960638823161501e+00 1.697489369389709069e+00
2.072842461734282882e+00 1.450176986274783975e+00 1.704138975162623026e+00
2.083676945485539278e+00 1.457383507675036993e+00 1.710760033794137769e+00
2.094515319721862223e+00 1.464595772736837942e+00 1.717395683343815538e+00
2.105347601218859221e+00 1.471787592299137915e+00 1.723962723826983456e+00
2.116178459590186023e+00 1.478981849522105652e+00 1.730542298341049445e+00
2.127013199653433162e+00 1.486181832933557434e+00 1.737136445380404570e+00
2.137839133475253117e+00 1.493359533912651083e+00 1.743660358839294933e+00
2.148669001289154057e+00 1.500543136276114575e+00 1.750199431697361474e+00
2.159493723872853099e+00 1.507716719919256931e+00 1.756709352147260539e+00
2.170322432748793773e+00 1.514896380142656263e+00 1.763235018870228599e+00
2.181142160896534232e+00 1.522053197399909408e+00 1.769688654605310774e+00
2.191965884129662090e+00 1.529216108710483635e+00 1.776158055006336056e+00
2.202787044654933357e+00 1.536370435422632186e+00 1.782598698586753683e+00
2.213606982462027695e+00 1.543527883105927589e+00 1.789054205300750544e+00
2.224427018763206920e+00 1.550678407927768898e+00 1.795481992834207396e+00
2.235241901041038037e+00 1.557818896556226518e+00 1.801880609566627101e+00
2.246056881812953154e+00 1.564952462323230042e+00 1.808251507118507240e+00
2.256870622280400696e+00 1.572089114115252428e+00 1.814637231018217722e+00
2.267684461241932681e+00 1.579218843045821163e+00 1.820995235737388862e+00
2.278499816908115871e+00 1.586353652657092050e+00 1.827370259799371510e+00
2.289305878045136300e+00 1.593464568126899739e+00 1.833669731630130029e+00
2.300116117088748968e+00 1.600582226014381160e+00 1.839987260443767703e+00
2.310921071129255822e+00 1.607689444897513420e+00 1.846274389529962257e+00
2.321730307676675320e+00 1.614803756590090567e+00 1.852580749346812272e+00
2.332534259220990336e+00 1.621907629278321661e+00 1.858856709436226939e+00
2.343338256959227817e+00 1.629004403909209309e+00 1.865104363471203897e+00
2.354141258307509865e+00 1.636105105598422371e+00 1.871369741437720169e+00
2.364939999650274682e+00 1.643184308221493639e+00 1.877558652905079839e+00
2.375744694418175040e+00 1.650283465702533592e+00 1.883814449603021135e+00
2.386539867869979847e+00 1.657357993312438937e+00 1.889992309788434355e+00
2.397339358542567300e+00 1.664439753981548087e+00 1.896189950792644519e+00
2.408133564212048494e+00 1.671511075646308520e+00 1.902357192069414893e+00
2.418927789696016628e+00 1.678575246834536072e+00 1.908496072113129438e+00
2.429721114597204412e+00 1.685643677999796974e+00 1.914653831443288379e+00
2.440514468106024015e+00 1.692704976161588215e+00 1.920783247933265603e+00
2.451309634534165394e+00 1.699772371233270851e+00 1.926933168223645021e+00
2.462099550673070070e+00 1.706829467550363910e+00 1.933053238874726132e+00
2.472889434326300595e+00 1.713879238195037402e+00 1.939144361418861928e+00
2.483674015390134659e+00 1.720918534889233742e+00 1.945205047449805935e+00
2.494463166382406616e+00 1.727965923149001881e+00 1.951288430276125307e+00
2.505247014785283000e+00 1.735002837458294422e+00 1.957341376589256665e+00
2.516035424323450620e+00 1.742047825860093546e+00 1.963417001304889276e+00
2.526821244774323905e+00 1.749084177244274452e+00 1.969463814021287895e+00
2.537601701542495203e+00 1.756109862009029632e+00 1.975479584957734902e+00
2.548382221632166544e+00 1.763128554020073180e+00 1.981467563142141231e+00
2.559162085053568791e+00 1.770152347041453300e+00 1.987477318196692933e+00
2.569941907196151565e+00 1.777168796917349969e+00 1.993458106751424541e+00
2.580721229570944963e+00 1.784190873391242826e+00 1.999462432797974198e+00
2.591500501873774009e+00 1.791205589246588348e+00 2.005437773951830316e+00
2.602274506301073931e+00 1.798209971401214746e+00 2.011383228680635682e+00
2.613053324571323444e+00 1.805223286154717055e+00 2.017354277788521166e+00
2.623829492660973539e+00 1.812227771221651018e+00 2.023295909630408840e+00
2.634600331781788096e+00 1.819221729918916175e+00 2.029207049780485050e+00
2.645371173130798503e+00 1.826208503193520682e+00 2.035089791911758095e+00
2.656141610519195062e+00 1.833201235984828426e+00 2.040997226889750493e+00
2.666917009857876941e+00 1.840203409489607145e+00 2.046931998475617576e+00
2.677682120505634700e+00 1.847178430488586098e+00 2.052780543742995789e+00
2.688444200704705800e+00 1.854157889517054736e+00 2.058653294305166526e+00
2.699227625047668333e+00 1.861143632214525168e+00 2.064506534842970531e+00
2.709986833926730121e+00 1.868120869437483123e+00 2.070376853302807518e+00
2.720743375038899181e+00 1.875089242027743408e+00 2.076217717710894473e+00
2.731523860403596071e+00 1.882065367355028052e+00 2.082039504467921631e+00
2.742280234904711289e+00 1.889033337599570261e+00 2.087879542894754081e+00
2.753033985145949991e+00 1.895992600934240269e+00 2.093690695750863640e+00
2.763811627339555876e+00 1.902959441810045504e+00 2.099482184082012814e+00
2.774565315570060697e+00 1.909918653190769922e+00 2.105293684704646839e+00
2.785342878166642500e+00 1.916885407166502242e+00 2.111085484016572700e+00
2.796091256784087875e+00 1.923827012058528796e+00 2.116838608230986019e+00
2.806842241157692097e+00 1.930777429629305431e+00 2.122621534263663179e+00
2.817617213290838585e+00 1.937735757659927893e+00 2.128385951126296582e+00
2.828362931558398241e+00 1.944668726464829689e+00 2.134111069231772184e+00
